corpus-id	filename	xmlid	author-name	title	author-birth	author-death	author-gender	author-ids	reference-year	first-edition	digital-edition	print-edition	provenance	title-ids	language	numwords	subgenre	narrative-perspective	size-category	reprint-count	time-slot
ELTeC-rom	ROM096	ROM096	Pelimon, A.	Hotii si Hagiul	1822	NA	M	NA	1853	1853	NA	NA	NA	NA	ro	24946	NA	NA	short	NA	T1
ELTeC-rom	ROM016	ROM016	Bolintineanu, Dimitrie	Manoil	1819	NA	M	NA	1855	1855	NA	1984	NA	NA	ro	36282	NA	NA	short	high	T1
ELTeC-rom	ROM034	ROM034	Boerescu, C.	Aldo si Aminta	1836	NA	M	NA	1855	1855	NA	NA	NA	NA	ro	43740	NA	NA	short	low	T1
ELTeC-rom	ROM046	ROM046	Urechia, V.A.	Logofătul Baptiste Veleli. Episod istoric din secolul al XVIII lea	1834	NA	M	NA	1855	1855	NA	1883	NA	NA	ro	13258	NA	NA	short	low	T1
ELTeC-rom	ROM043	ROM043	Dumitrescu, Ioan	Radu Buzesku	1830	NA	M	NA	1858	1858	NA	NA	NA	NA	ro	51044	NA	NA	medium	NA	T1
ELTeC-rom	ROM097	ROM097	Ghica, Pantazi	Un boem român	1831	NA	M	NA	1860	1860	NA	NA	NA	NA	ro	76558	NA	NA	medium	NA	T2
ELTeC-rom	ROM031	ROM031	Aricescu, C.D.	Mysterele Casatoriei	1823	NA	M	NA	1861	1861	NA	NA	NA	NA	ro	127251	NA	NA	long	low	T2
ELTeC-rom	ROM015	ROM015	Ionescu, Radu	Don Juanii din București	1834	NA	M	NA	1861	1861	NA	1986	NA	NA	ro	22860	NA	NA	short	high	T2
ELTeC-rom	ROM017	ROM017	Bolintineanu, Dimitrie	Elena. Roman original de datine politic filosofic	1819	NA	M	NA	1862	1862	NA	1984	NA	NA	ro	65702	NA	NA	medium	high	T2
ELTeC-rom	ROM095	ROM095	Baronzi, George	Misterele Bucurescilor	1828	NA	M	NA	1862	NA	NA	1862	NA	NA	ro	155626	NA	NA	long	low	T2
ELTeC-rom	ROM025	ROM025	Bujoreanu, Ioan M.	Mistere din București	1834	NA	M	NA	1862	1862	NA	1984	NA	NA	ro	150879	NA	NA	long	low	T2
ELTeC-rom	ROM100	ROM100	Pelimon, A.	Jidovul Cămătar	1822	NA	M	NA	1863	1863	NA	NA	NA	NA	ro	77985	NA	NA	medium	NA	T2
ELTeC-rom	ROM045	ROM045	Filimon, Nicolae	"CIOCOII VECHI ŞI NOI SAU „CE NAŞTE DIN PISICĂ ŞOARECI MĂNÂNCĂ""!. Romanţ original"	1819	1865	M	NA	1863	1863	NA	1942	NA	NA	ro	76340	NA	NA	medium	high	T2
ELTeC-rom	ROM018	ROM018	Bolintineanu, Dimitrie	Doritorii nebuni	1819	NA	M	NA	1864	1864	NA	1984	NA	NA	ro	60232	NA	NA	medium	low	T2
ELTeC-rom	ROM067	ROM067	Petriceicu Hasdeu, Bogdan	Ursita	1838	1907	M	NA	1864	NA	1864	NA	Digital Humanities Laboratory (UAIC)	NA	ro	23398	NA	NA	short	low	T1
ELTeC-rom	ROM013	ROM013	Anonymous	La Gura sobei	NA	NA	M	NA	1865	1865	NA	1986	NA	NA	ro	56507	NA	NA	medium	high	T2
